Filename,DateTime,Symbol,Name,TotalHolders,Rank,Address,Percentage,Insider,Bundler,IsPool
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,105,DvJzvqNkJynbdF7guqdJRXFWEc7jenU7nxoFfYXGxoNf,0.1316052634218,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,106,8PPreNWQ4uAbDfrbYYvjXZLerApR7K7rcbQYsJTgZpSC,0.130705385626,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,107,A9dqm58xW2WxKSYGcouvdcyoLwzWrMcnnBEur6w9qvPb,0.1305735128385,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,108,Hk3GVH9mYuS1YtzRFPKFnL7RXXz7JxohV69uyxaxFsb1,0.1251266250144,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,109,Fm1MbEDFX9a17r4TPdt4FVbLtuBbPQKyPXXckXwrHva3,0.1221686820927,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,110,5K3Z3xMfcLrpGNw8YY7EYgzG59CruxmcjhgJFVPG8ueg,0.11568432325650001,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,111,HqXUprRGKDh6YpGMQhpg1ysv95dVYiyPLnXhg5jffuLc,0.1138425668486,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,112,6ii8aBy6bR4d1GV1s6B9f4PxGTTxqxV7tZHoxRe9X9bY,0.0992902827708,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,113,GKEjybLDHYa8ftXD7o5boGS3z9fGp21h5gmiHqSAyn6s,0.09755523176809999,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,114,GMPAbsZnSyv4yS2Uksym6ZoBQdWQLVaYoiRx1ojh1iW9,0.0892940434918,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,115,6p5xE3FV6XQzyYf7yjetZL7fVDCVDYXRVpyCQrUZ2af2,0.0658316536091,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,116,AuwFTHMxb3DoJ3bFMuPK4LJ87EpQQZMfDkXX3KpzifXB,0.06305415775829999,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,117,8BrdzcVZ5xkwm8i1Cen1HctMY9QY6v9VSnyhMXv7CSyB,0.054501474848,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,118,6SmKxzYoo78JV8FomwPTTQ26i19zDoPoutuP59qaa6wg,0.0542355199649,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,119,FnguhBCj6NC5rUdnMDp7wR2knr9p2CHeHnNT8o3PkTPr,0.050532403699499996,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,120,8hnUHVQebrZVAFkGpHwNnVpcSwRoFDKZq8JgFeh7wGo1,0.0504419982945,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,121,45B14hYTDoL39QCSforE72UE9Rzzn3RffwUTX6YFwXaT,0.0503537046828,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,122,9QgyRnuoK54Ya1yCJogogvtcVEiLqMGojTB9jmu4zj56,0.050294606139400004,False,False,False
GpqpARmhqky7.log,2025-08-28 18:26:08,,,,123,5xSgKGwxz89U2Lk4WQrDVfKmveT6fydemfM7nBQvEGvE,0.0474466989241,False,False,False
